split	model_id	status	required_issues	warnings	issue_codes
train	00000061	pass	0	0	
train	00000070	pass	0	0	
train	00000168	pass	0	0	
train	00000329	pass	0	0	
train	00000346	fail	25	0	missing_condition_dir,missing_latent_dir
train	00000348	pass	0	0	
train	00000356	pass	0	0	
train	00000413	pass	0	0	
train	00000418	pass	0	0	
train	00000559	pass	0	0	
train	00000633	pass	0	0	
train	00000638	pass	0	0	
train	00000711	pass	0	0	
train	00000712	pass	0	0	
train	00000714	pass	0	0	
train	00000802	pass	0	0	
train	00000842	pass	0	0	
train	00000843	pass	0	0	
train	00000849	pass	0	0	
train	00000954	pass	0	0	
train	00000960	pass	0	0	
train	00001000	pass	0	0	
train	00001005	pass	0	0	
train	00001009	pass	0	0	
train	00001010	pass	0	0	
train	00001014	pass	0	0	
train	00001020	pass	0	0	
train	00001109	pass	0	0	
train	00001164	pass	0	0	
train	00001170	pass	0	0	
train	00001211	pass	0	0	
train	00001213	pass	0	0	
train	00001348	pass	0	0	
train	00001398	pass	0	0	
train	00001400	pass	0	0	
train	00001402	pass	0	0	
train	00001403	pass	0	0	
train	00001408	pass	0	0	
train	00001410	pass	0	0	
train	00001497	pass	0	0	
train	00001503	pass	0	0	
train	00001519	pass	0	0	
train	00001537	pass	0	0	
train	00001539	pass	0	0	
train	00001541	pass	0	0	
train	00001579	pass	0	0	
train	00001614	pass	0	0	
train	00001623	pass	0	0	
train	00001749	pass	0	0	
train	00001776	pass	0	0	
train	00001817	pass	0	0	
train	00001865	pass	0	0	
train	00001877	pass	0	0	
train	00001906	pass	0	0	
train	00001965	pass	0	0	
train	00001970	pass	0	0	
train	00001971	pass	0	0	
train	00001972	pass	0	0	
train	00001995	pass	0	0	
train	00002065	pass	0	0	
train	00002090	pass	0	0	
train	00002091	pass	0	0	
train	00002096	pass	0	0	
train	00002211	pass	0	0	
train	00002240	pass	0	0	
train	00002241	pass	0	0	
train	00002290	pass	0	0	
train	00002297	pass	0	0	
train	00002316	pass	0	0	
train	00002338	pass	0	0	
train	00002347	pass	0	0	
train	00002406	pass	0	0	
train	00002407	pass	0	0	
train	00002505	pass	0	0	
train	00002507	pass	0	0	
train	00002512	pass	0	0	
train	00002530	pass	0	0	
train	00002629	pass	0	0	
train	00002633	pass	0	0	
train	00002680	pass	0	0	
train	00002682	pass	0	0	
train	00002698	pass	0	0	
train	00002719	pass	0	0	
train	00002745	pass	0	0	
train	00002840	pass	0	0	
train	00002852	pass	0	0	
train	00002855	pass	0	0	
train	00002886	pass	0	0	
train	00002958	pass	0	0	
train	00002963	pass	0	0	
train	00002975	pass	0	0	
train	00003117	pass	0	0	
train	00003143	pass	0	0	
train	00003144	pass	0	0	
train	00003173	pass	0	0	
train	00003203	pass	0	0	
train	00003210	pass	0	0	
train	00003211	pass	0	0	
train	00003280	pass	0	0	
train	00003288	pass	0	0	
train	00003337	pass	0	0	
train	00003407	pass	0	0	
train	00003419	pass	0	0	
train	00003444	pass	0	0	
train	00003519	pass	0	0	
train	00003558	pass	0	0	
train	00003593	pass	0	0	
train	00003666	fail	25	0	missing_condition_dir,missing_latent_dir
train	00003676	pass	0	0	
train	00003709	pass	0	0	
train	00003710	pass	0	0	
train	00003803	pass	0	0	
train	00003805	pass	0	0	
train	00003810	pass	0	0	
train	00003813	pass	0	0	
train	00003823	pass	0	0	
train	00003847	pass	0	0	
train	00003857	pass	0	0	
train	00003867	pass	0	0	
train	00003869	pass	0	0	
train	00003954	pass	0	0	
train	00003988	pass	0	0	
train	00004043	pass	0	0	
train	00004055	pass	0	0	
train	00004064	pass	0	0	
train	00004078	pass	0	0	
train	00004118	pass	0	0	
train	00004125	pass	0	0	
train	00004252	pass	0	0	
train	00004261	pass	0	0	
train	00004267	pass	0	0	
train	00004282	pass	0	0	
train	00004296	pass	0	0	
train	00004308	pass	0	0	
train	00004320	pass	0	0	
train	00004333	pass	0	0	
train	00004334	pass	0	0	
train	00004339	pass	0	0	
train	00004383	pass	0	0	
train	00004409	pass	0	0	
train	00004423	pass	0	0	
train	00004433	pass	0	0	
train	00004529	pass	0	0	
train	00004629	pass	0	0	
train	00004640	pass	0	0	
train	00004643	pass	0	0	
train	00004677	pass	0	0	
train	00004698	pass	0	0	
train	00004700	pass	0	0	
train	00004747	pass	0	0	
train	00004929	pass	0	0	
train	00004934	pass	0	0	
train	00004965	pass	0	0	
train	00004981	pass	0	0	
train	00005041	pass	0	0	
train	00005042	pass	0	0	
train	00005044	pass	0	0	
train	00005057	pass	0	0	
train	00005062	pass	0	0	
train	00005085	pass	0	0	
train	00005087	pass	0	0	
train	00005107	pass	0	0	
train	00005110	pass	0	0	
train	00005140	pass	0	0	
train	00005143	pass	0	0	
train	00005277	pass	0	0	
train	00005312	pass	0	0	
train	00005314	pass	0	0	
train	00005316	pass	0	0	
train	00005317	pass	0	0	
train	00005318	pass	0	0	
train	00005321	pass	0	0	
train	00005338	pass	0	0	
train	00005341	pass	0	0	
train	00005414	pass	0	0	
train	00005419	pass	0	0	
train	00005421	pass	0	0	
train	00005442	pass	0	0	
train	00005463	pass	0	0	
train	00005496	pass	0	0	
train	00005497	pass	0	0	
train	00005498	pass	0	0	
train	00005560	pass	0	0	
train	00005562	pass	0	0	
train	00005568	pass	0	0	
train	00005569	pass	0	0	
train	00005597	pass	0	0	
train	00005655	pass	0	0	
train	00005670	pass	0	0	
train	00005689	pass	0	0	
train	00005690	pass	0	0	
train	00005793	pass	0	0	
train	00005826	pass	0	0	
train	00005893	pass	0	0	
train	00005894	pass	0	0	
train	00005899	pass	0	0	
train	00005904	pass	0	0	
train	00005915	pass	0	0	
train	00005921	pass	0	0	
train	00006003	pass	0	0	
train	00006007	pass	0	0	
train	00006109	pass	0	0	
train	00006137	pass	0	0	
train	00006190	pass	0	0	
train	00006302	pass	0	0	
train	00006383	pass	0	0	
train	00006447	pass	0	0	
train	00006455	pass	0	0	
train	00006463	pass	0	0	
train	00006466	pass	0	0	
train	00006467	pass	0	0	
train	00006470	pass	0	0	
train	00006471	pass	0	0	
train	00006495	pass	0	0	
train	00006519	pass	0	0	
train	00006527	pass	0	0	
train	00006546	pass	0	0	
train	00006547	pass	0	0	
train	00006577	pass	0	0	
train	00006578	pass	0	0	
train	00006625	pass	0	0	
train	00006629	pass	0	0	
train	00006642	pass	0	0	
train	00006645	pass	0	0	
train	00006674	pass	0	0	
train	00006676	pass	0	0	
train	00006677	pass	0	0	
train	00006699	pass	0	0	
train	00006817	pass	0	0	
train	00006845	pass	0	0	
train	00006875	pass	0	0	
train	00006884	pass	0	0	
train	00006889	pass	0	0	
train	00006892	pass	0	0	
train	00007026	pass	0	0	
train	00007054	pass	0	0	
train	00007093	pass	0	0	
train	00007128	pass	0	0	
train	00007140	pass	0	0	
train	00007184	pass	0	0	
train	00007185	pass	0	0	
train	00007188	pass	0	0	
train	00007189	pass	0	0	
train	00007190	pass	0	0	
train	00007191	pass	0	0	
train	00007192	pass	0	0	
train	00007202	pass	0	0	
train	00007251	pass	0	0	
train	00007254	pass	0	0	
train	00007256	pass	0	0	
train	00007280	pass	0	0	
train	00007282	pass	0	0	
train	00007314	pass	0	0	
train	00007441	pass	0	0	
train	00007454	pass	0	0	
train	00007498	pass	0	0	
train	00007532	pass	0	0	
train	00007536	pass	0	0	
train	00007540	pass	0	0	
train	00007612	pass	0	0	
train	00007652	pass	0	0	
train	00007676	pass	0	0	
train	00007687	pass	0	0	
train	00007731	pass	0	0	
train	00007808	pass	0	0	
train	00007809	pass	0	0	
train	00007810	pass	0	0	
train	00007825	pass	0	0	
train	00007848	pass	0	0	
train	00007882	pass	0	0	
train	00007883	pass	0	0	
train	00007884	pass	0	0	
train	00007987	pass	0	0	
train	00008056	pass	0	0	
train	00008065	pass	0	0	
train	00008117	pass	0	0	
train	00008132	pass	0	0	
train	00008136	pass	0	0	
train	00008168	pass	0	0	
train	00008231	pass	0	0	
train	00008277	pass	0	0	
train	00008298	pass	0	0	
train	00008299	pass	0	0	
train	00008377	pass	0	0	
train	00008378	pass	0	0	
train	00008379	pass	0	0	
train	00008391	pass	0	0	
train	00008396	pass	0	0	
train	00008398	pass	0	0	
train	00008420	pass	0	0	
train	00008427	pass	0	0	
train	00008453	pass	0	0	
train	00008572	pass	0	0	
train	00008609	pass	0	0	
train	00008629	pass	0	0	
train	00008750	pass	0	0	
train	00008905	pass	0	0	
train	00008926	pass	0	0	
train	00008929	pass	0	0	
train	00008936	pass	0	0	
train	00008950	pass	0	0	
train	00008964	pass	0	0	
train	00009000	pass	0	0	
train	00009014	pass	0	0	
train	00009017	pass	0	0	
train	00009035	pass	0	0	
