severity	split	model_id	asset	detail	path
required	train	00000061	latent.features	rotation 0 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_0/features.npy
required	train	00000061	latent.features	rotation 1 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_1/features.npy
required	train	00000061	latent.features	rotation 2 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_2/features.npy
required	train	00000061	latent.features	rotation 3 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_3/features.npy
required	train	00000061	latent.features	rotation 4 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_4/features.npy
required	train	00000061	latent.features	rotation 5 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_5/features.npy
required	train	00000061	latent.features	rotation 6 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_6/features.npy
required	train	00000061	latent.features	rotation 7 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_7/features.npy
required	train	00000061	latent.features	rotation 8 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_8/features.npy
required	train	00000061	latent.features	rotation 9 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_9/features.npy
required	train	00000061	latent.features	rotation 10 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_10/features.npy
required	train	00000061	latent.features	rotation 11 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_11/features.npy
required	train	00000061	latent.features	rotation 12 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_12/features.npy
required	train	00000061	latent.features	rotation 13 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_13/features.npy
required	train	00000061	latent.features	rotation 14 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_14/features.npy
required	train	00000061	latent.features	rotation 15 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_15/features.npy
required	train	00000061	latent.features	rotation 16 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_16/features.npy
required	train	00000061	latent.features	rotation 17 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_17/features.npy
required	train	00000061	latent.features	rotation 18 features shape (7, 64), expected [F,32]	/mnt/d/data/ae_cache/1119_deepcad_aug1_11k_24/00000061_18/features.npy
