severity	split	model_id	asset	detail	path
required	train	00000346	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00000346
required	train	00003666	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00003666
required	train	00010520	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00010520
required	train	00010661	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00010661
required	train	00016629	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00016629
required	train	00016773	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00016773
required	train	00017078	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00017078
required	train	00017131	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00017131
required	train	00017144	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00017144
required	train	00017153	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00017153
required	train	00017295	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00017295
required	train	00022073	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00022073
required	train	00023011	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00023011
required	train	00026773	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00026773
required	train	00026838	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00026838
required	train	00026847	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00026847
required	train	00027506	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00027506
required	train	00032094	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00032094
required	train	00033025	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00033025
required	train	00033417	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00033417
required	train	00034256	condition.dir	condition directory is missing	/mnt/d/data/deepcad_v7_cond/00034256
